Training ... 
solution loss = 3.601323, solution error = 1.196813, grad_solution error = 2.193839
solution loss = 3.588983, solution error = 1.197482, grad_solution error = 2.190244
solution loss = 3.603915, solution error = 1.196420, grad_solution error = 2.191041
solution loss = 3.558187, solution error = 1.197333, grad_solution error = 2.185166
solution loss = 3.513172, solution error = 1.194803, grad_solution error = 2.189576
solution loss = 3.490409, solution error = 1.197333, grad_solution error = 2.184088
solution loss = 3.504216, solution error = 1.194429, grad_solution error = 2.185960
solution loss = 3.460619, solution error = 1.200143, grad_solution error = 2.184980
solution loss = 3.467475, solution error = 1.196071, grad_solution error = 2.183044
solution loss = 3.420872, solution error = 1.194369, grad_solution error = 2.185214
solution loss = 3.406220, solution error = 1.197739, grad_solution error = 2.179047
solution loss = 3.430807, solution error = 1.193514, grad_solution error = 2.179636
solution loss = 3.363734, solution error = 1.196548, grad_solution error = 2.177427
solution loss = 3.362974, solution error = 1.195024, grad_solution error = 2.177656
solution loss = 3.331617, solution error = 1.197938, grad_solution error = 2.175841
solution loss = 3.310340, solution error = 1.197098, grad_solution error = 2.176298
solution loss = 3.289068, solution error = 1.197489, grad_solution error = 2.173511
solution loss = 3.261760, solution error = 1.194638, grad_solution error = 2.171767
solution loss = 3.236029, solution error = 1.192985, grad_solution error = 2.173916
solution loss = 3.230135, solution error = 1.195603, grad_solution error = 2.170157
solution loss = 3.218884, solution error = 1.191943, grad_solution error = 2.170920
solution loss = 3.222807, solution error = 1.197251, grad_solution error = 2.167503
solution loss = 3.195692, solution error = 1.192083, grad_solution error = 2.168694
solution loss = 3.136510, solution error = 1.194886, grad_solution error = 2.167960
solution loss = 3.154132, solution error = 1.192235, grad_solution error = 2.166379
solution loss = 3.125850, solution error = 1.193204, grad_solution error = 2.165044
solution loss = 3.116384, solution error = 1.195096, grad_solution error = 2.163663
solution loss = 3.115379, solution error = 1.193709, grad_solution error = 2.161141
solution loss = 3.079418, solution error = 1.194313, grad_solution error = 2.162577
solution loss = 3.103831, solution error = 1.195078, grad_solution error = 2.162918
solution loss = 3.055538, solution error = 1.192458, grad_solution error = 2.160238
solution loss = 3.037330, solution error = 1.192860, grad_solution error = 2.159607
solution loss = 3.035231, solution error = 1.192598, grad_solution error = 2.160530
solution loss = 3.031869, solution error = 1.194000, grad_solution error = 2.156031
solution loss = 3.003113, solution error = 1.194661, grad_solution error = 2.158549
solution loss = 2.965832, solution error = 1.194691, grad_solution error = 2.156346
solution loss = 2.998444, solution error = 1.193977, grad_solution error = 2.156050
solution loss = 2.944551, solution error = 1.190106, grad_solution error = 2.154599
solution loss = 2.918949, solution error = 1.196211, grad_solution error = 2.152310
solution loss = 2.885543, solution error = 1.190917, grad_solution error = 2.154136
solution loss = 2.911207, solution error = 1.195236, grad_solution error = 2.152496
solution loss = 2.887939, solution error = 1.193062, grad_solution error = 2.151630
solution loss = 2.888433, solution error = 1.191868, grad_solution error = 2.151205
solution loss = 2.869043, solution error = 1.193252, grad_solution error = 2.150156
solution loss = 2.841943, solution error = 1.191728, grad_solution error = 2.148326
solution loss = 2.844169, solution error = 1.193070, grad_solution error = 2.148559
solution loss = 2.816044, solution error = 1.191374, grad_solution error = 2.147591
solution loss = 2.789446, solution error = 1.191370, grad_solution error = 2.146937
solution loss = 2.789889, solution error = 1.192910, grad_solution error = 2.145051
solution loss = 2.775140, solution error = 1.189974, grad_solution error = 2.146777
solution loss = 2.761777, solution error = 1.192886, grad_solution error = 2.142241
solution loss = 2.758929, solution error = 1.188080, grad_solution error = 2.146386
solution loss = 2.738212, solution error = 1.190846, grad_solution error = 2.142934
solution loss = 2.729459, solution error = 1.192147, grad_solution error = 2.141751
solution loss = 2.721723, solution error = 1.189510, grad_solution error = 2.143712
solution loss = 2.717440, solution error = 1.191347, grad_solution error = 2.139139
solution loss = 2.711365, solution error = 1.191865, grad_solution error = 2.141265
solution loss = 2.668126, solution error = 1.190769, grad_solution error = 2.138969
solution loss = 2.670637, solution error = 1.189321, grad_solution error = 2.140511
solution loss = 2.655160, solution error = 1.191945, grad_solution error = 2.136545
solution loss = 2.656626, solution error = 1.188684, grad_solution error = 2.138440
solution loss = 2.610368, solution error = 1.192131, grad_solution error = 2.136842
solution loss = 2.615765, solution error = 1.191437, grad_solution error = 2.137478
solution loss = 2.634501, solution error = 1.189761, grad_solution error = 2.135182
solution loss = 2.593954, solution error = 1.190440, grad_solution error = 2.137198
solution loss = 2.583971, solution error = 1.190899, grad_solution error = 2.131971
solution loss = 2.563342, solution error = 1.192329, grad_solution error = 2.135017
solution loss = 2.582741, solution error = 1.190788, grad_solution error = 2.132599
solution loss = 2.550929, solution error = 1.189382, grad_solution error = 2.133514
solution loss = 2.535271, solution error = 1.192549, grad_solution error = 2.133801
solution loss = 2.542033, solution error = 1.189472, grad_solution error = 2.130938
solution loss = 2.543909, solution error = 1.191557, grad_solution error = 2.132221
solution loss = 2.523812, solution error = 1.190902, grad_solution error = 2.127749
solution loss = 2.508669, solution error = 1.188715, grad_solution error = 2.130000
solution loss = 2.511505, solution error = 1.191068, grad_solution error = 2.129929
solution loss = 2.477183, solution error = 1.189179, grad_solution error = 2.128068
solution loss = 2.488956, solution error = 1.191150, grad_solution error = 2.128516
solution loss = 2.451845, solution error = 1.189208, grad_solution error = 2.125948
solution loss = 2.460130, solution error = 1.189205, grad_solution error = 2.127636
solution loss = 2.435441, solution error = 1.190606, grad_solution error = 2.125469
solution loss = 2.429197, solution error = 1.189896, grad_solution error = 2.124845
solution loss = 2.418255, solution error = 1.189838, grad_solution error = 2.125136
solution loss = 2.412966, solution error = 1.192201, grad_solution error = 2.124378
solution loss = 2.408716, solution error = 1.189831, grad_solution error = 2.125353
solution loss = 2.393592, solution error = 1.190047, grad_solution error = 2.123537
solution loss = 2.353996, solution error = 1.191651, grad_solution error = 2.122759
solution loss = 2.387933, solution error = 1.190423, grad_solution error = 2.124033
solution loss = 2.373773, solution error = 1.188422, grad_solution error = 2.122680
solution loss = 2.351354, solution error = 1.191551, grad_solution error = 2.120618
solution loss = 2.340946, solution error = 1.187004, grad_solution error = 2.119103
solution loss = 2.331456, solution error = 1.192796, grad_solution error = 2.118932
solution loss = 2.313208, solution error = 1.188209, grad_solution error = 2.119787
solution loss = 2.316695, solution error = 1.192502, grad_solution error = 2.118469
solution loss = 2.322730, solution error = 1.187235, grad_solution error = 2.118779
solution loss = 2.295162, solution error = 1.191347, grad_solution error = 2.117280
solution loss = 2.293978, solution error = 1.187312, grad_solution error = 2.116401
solution loss = 2.274345, solution error = 1.192656, grad_solution error = 2.115958
solution loss = 2.273618, solution error = 1.188680, grad_solution error = 2.117265
solution loss = 2.264940, solution error = 1.188557, grad_solution error = 2.114074
solution loss = 2.256696, solution error = 1.188217, grad_solution error = 2.115866
