Training ... 
solution loss = 1143.021240, solution error = 2.598377, grad_solution error = 1.608940
solution loss = 1222.508453, solution error = 2.597136, grad_solution error = 1.608659
solution loss = 1113.730331, solution error = 2.593545, grad_solution error = 1.607843
solution loss = 1221.629929, solution error = 2.592551, grad_solution error = 1.607528
solution loss = 1150.477829, solution error = 2.594807, grad_solution error = 1.607697
solution loss = 1176.972473, solution error = 2.595166, grad_solution error = 1.607853
solution loss = 1128.116455, solution error = 2.591244, grad_solution error = 1.607960
solution loss = 1434.692795, solution error = 2.588370, grad_solution error = 1.607460
solution loss = 1159.457474, solution error = 2.589018, grad_solution error = 1.606365
solution loss = 1146.613403, solution error = 2.590052, grad_solution error = 1.606000
solution loss = 1246.006638, solution error = 2.588183, grad_solution error = 1.605687
solution loss = 1200.013138, solution error = 2.585767, grad_solution error = 1.605238
solution loss = 1140.217621, solution error = 2.584672, grad_solution error = 1.604989
solution loss = 1550.440536, solution error = 2.584527, grad_solution error = 1.604817
solution loss = 1250.991150, solution error = 2.598154, grad_solution error = 1.604466
solution loss = 1188.345673, solution error = 2.605959, grad_solution error = 1.604286
solution loss = 1327.246918, solution error = 2.607955, grad_solution error = 1.604166
solution loss = 1200.177719, solution error = 2.598366, grad_solution error = 1.604043
solution loss = 1185.125397, solution error = 2.593320, grad_solution error = 1.604067
solution loss = 1158.896103, solution error = 2.590809, grad_solution error = 1.604147
solution loss = 1267.314713, solution error = 2.590111, grad_solution error = 1.604257
solution loss = 1229.449699, solution error = 2.590381, grad_solution error = 1.604358
solution loss = 1185.342041, solution error = 2.590951, grad_solution error = 1.604253
solution loss = 1188.849762, solution error = 2.590672, grad_solution error = 1.604167
solution loss = 1193.806305, solution error = 2.589270, grad_solution error = 1.604050
solution loss = 1136.620056, solution error = 2.586736, grad_solution error = 1.604005
solution loss = 1175.728668, solution error = 2.584469, grad_solution error = 1.604006
solution loss = 1180.564316, solution error = 2.582859, grad_solution error = 1.603970
solution loss = 1123.799583, solution error = 2.581704, grad_solution error = 1.603974
solution loss = 1169.996170, solution error = 2.582990, grad_solution error = 1.603993
solution loss = 1131.415863, solution error = 2.583171, grad_solution error = 1.604011
solution loss = 1156.590042, solution error = 2.583004, grad_solution error = 1.603986
solution loss = 1246.549576, solution error = 2.581715, grad_solution error = 1.603995
solution loss = 1136.687943, solution error = 2.581185, grad_solution error = 1.604029
solution loss = 1210.758926, solution error = 2.581254, grad_solution error = 1.604101
solution loss = 1163.249527, solution error = 2.582122, grad_solution error = 1.604077
solution loss = 1312.042786, solution error = 2.584160, grad_solution error = 1.604066
solution loss = 1431.142319, solution error = 2.591129, grad_solution error = 1.603881
solution loss = 1134.656418, solution error = 2.593936, grad_solution error = 1.604313
solution loss = 1183.775116, solution error = 2.595362, grad_solution error = 1.604493
solution loss = 1176.122437, solution error = 2.595885, grad_solution error = 1.604545
solution loss = 1146.249344, solution error = 2.596167, grad_solution error = 1.604581
solution loss = 1177.592651, solution error = 2.596559, grad_solution error = 1.604634
solution loss = 1179.531982, solution error = 2.596294, grad_solution error = 1.604667
solution loss = 1109.386032, solution error = 2.595157, grad_solution error = 1.604678
solution loss = 1198.040039, solution error = 2.593421, grad_solution error = 1.604666
solution loss = 1147.523941, solution error = 2.591696, grad_solution error = 1.604702
solution loss = 1155.625397, solution error = 2.590539, grad_solution error = 1.604694
solution loss = 1690.442108, solution error = 2.582635, grad_solution error = 1.603882
solution loss = 1099.625557, solution error = 2.571676, grad_solution error = 1.602833
solution loss = 1124.886017, solution error = 2.568396, grad_solution error = 1.602568
solution loss = 1096.519417, solution error = 2.567637, grad_solution error = 1.602498
solution loss = 1155.951920, solution error = 2.567540, grad_solution error = 1.602493
solution loss = 1234.269501, solution error = 2.569174, grad_solution error = 1.602646
solution loss = 1127.233688, solution error = 2.570056, grad_solution error = 1.602748
solution loss = 1143.838013, solution error = 2.570771, grad_solution error = 1.602776
solution loss = 1096.978271, solution error = 2.571121, grad_solution error = 1.602793
solution loss = 1113.741440, solution error = 2.571480, grad_solution error = 1.602842
solution loss = 1159.413864, solution error = 2.570623, grad_solution error = 1.602810
solution loss = 1140.019821, solution error = 2.569505, grad_solution error = 1.602663
solution loss = 1643.656418, solution error = 2.572168, grad_solution error = 1.601524
solution loss = 1107.652679, solution error = 2.574963, grad_solution error = 1.599904
solution loss = 1113.905212, solution error = 2.575457, grad_solution error = 1.599171
solution loss = 1115.205299, solution error = 2.575379, grad_solution error = 1.598899
solution loss = 1143.543976, solution error = 2.573589, grad_solution error = 1.598782
solution loss = 1093.776237, solution error = 2.570075, grad_solution error = 1.598720
solution loss = 1153.061020, solution error = 2.567862, grad_solution error = 1.598611
solution loss = 1263.223450, solution error = 2.564562, grad_solution error = 1.598388
solution loss = 1129.743546, solution error = 2.562562, grad_solution error = 1.598281
solution loss = 1100.141769, solution error = 2.559462, grad_solution error = 1.598285
solution loss = 1091.974937, solution error = 2.556018, grad_solution error = 1.598217
solution loss = 1083.429199, solution error = 2.554180, grad_solution error = 1.598230
solution loss = 1132.017624, solution error = 2.552287, grad_solution error = 1.598233
solution loss = 1145.418472, solution error = 2.550355, grad_solution error = 1.598236
solution loss = 1235.441856, solution error = 2.550996, grad_solution error = 1.598296
solution loss = 1108.093903, solution error = 2.552251, grad_solution error = 1.598348
solution loss = 1203.053200, solution error = 2.551729, grad_solution error = 1.598414
solution loss = 1115.787857, solution error = 2.550905, grad_solution error = 1.598697
solution loss = 1126.164871, solution error = 2.551557, grad_solution error = 1.598854
solution loss = 1212.215904, solution error = 2.552740, grad_solution error = 1.598921
solution loss = 1143.241470, solution error = 2.553495, grad_solution error = 1.598767
solution loss = 1123.536621, solution error = 2.552480, grad_solution error = 1.598677
solution loss = 1198.631508, solution error = 2.551899, grad_solution error = 1.598658
solution loss = 1225.776154, solution error = 2.542197, grad_solution error = 1.597355
solution loss = 1184.697937, solution error = 2.523892, grad_solution error = 1.594658
solution loss = 1146.550583, solution error = 2.517827, grad_solution error = 1.593775
solution loss = 1247.022400, solution error = 2.514467, grad_solution error = 1.593470
solution loss = 1086.741188, solution error = 2.509832, grad_solution error = 1.593320
solution loss = 1133.046310, solution error = 2.507696, grad_solution error = 1.593281
solution loss = 1161.913849, solution error = 2.507797, grad_solution error = 1.593264
solution loss = 1130.148323, solution error = 2.507778, grad_solution error = 1.593262
solution loss = 1212.884552, solution error = 2.506931, grad_solution error = 1.593192
solution loss = 1208.716888, solution error = 2.506680, grad_solution error = 1.593143
solution loss = 1415.277725, solution error = 2.507289, grad_solution error = 1.593130
solution loss = 1072.749725, solution error = 2.515311, grad_solution error = 1.593770
solution loss = 1053.387253, solution error = 2.519910, grad_solution error = 1.594138
solution loss = 1111.314148, solution error = 2.529391, grad_solution error = 1.594731
solution loss = 1117.267586, solution error = 2.536970, grad_solution error = 1.595183
solution loss = 1171.649200, solution error = 2.540078, grad_solution error = 1.595267
solution loss = 1126.557465, solution error = 2.539936, grad_solution error = 1.595343
solution loss = 1186.707504, solution error = 2.539273, grad_solution error = 1.595366
solution loss = 1136.094482, solution error = 2.537878, grad_solution error = 1.595395
solution loss = 1147.628799, solution error = 2.536323, grad_solution error = 1.595446
solution loss = 1357.093781, solution error = 2.535454, grad_solution error = 1.595924
solution loss = 1037.826019, solution error = 2.537652, grad_solution error = 1.598006
solution loss = 1349.818466, solution error = 2.537044, grad_solution error = 1.598680
